negara,masakan,bahan
Indonesia,Seruit,"cabai, tomat, garam, terasi, minyak goreng, ikan"
Indonesia,Pempek,tepung
Indonesia,Nasi Bakar,"nasi, santan, ayam, kemangi, garam, cabai"
